"Work item ID","Work type","Summary","Epic Name","Parent","Description","Original Estimate","Sprint","Due Date","Labels","Labels","Labels","Labels"
"1","Epic","WF1 — Assets and Periodic Scheduling","WF1 — Assets and Periodic Scheduling","","Four-week mainflow delivery. Flow owner: Hiếu. See plan.md, tasks.md and quickstart.md.","","","2026-10-23","wf1","plan-2026-09-22","owner-hieu","epic"
"2","Epic","WF2 — Inspection Request, Order and Assignment","WF2 — Inspection Request, Order and Assignment","","Four-week mainflow delivery. Flow owner: Quốc. See plan.md, tasks.md and quickstart.md.","","","2026-10-23","wf2","plan-2026-09-22","owner-quoc","epic"
"3","Epic","WF3 — Inspection, Evidence and Report","WF3 — Inspection, Evidence and Report","","Four-week mainflow delivery. Flow owner: Bách. See plan.md, tasks.md and quickstart.md.","","","2026-10-23","wf3","plan-2026-09-22","owner-bach","epic"
"4","Epic","WF4 — Maintenance and Billing","WF4 — Maintenance and Billing","","Four-week mainflow delivery. Flow owner: Như. See plan.md, tasks.md and quickstart.md.","","","2026-10-23","wf4","plan-2026-09-22","owner-nhu","epic"
"5","Task","T001 | Smoke-test existing auth, migrations V1–V9, and MinIO","","1","Task T001. Owner: Hiếu (WF1); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-28; estimate 1d. Work: Smoke-test existing auth, migrations V1–V9, and MinIO in `backend/src/test/java/com/smartdroneinspection/WorkflowBaselineTest.java`. Acceptance: a clean test environment starts and all five role fixtures authenticate without default credentials. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W3 — Foundation & DB","2026-09-28","wf1","plan-2026-09-22","owner-hieu","backend"
"6","Task","T002 | Freeze event fields, request/response DTO names, and state names","","2","Task T002. Owner: Quốc (WF2); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-28; estimate 1d. Work: Freeze event fields, request/response DTO names, and state names in `docs/content/development/plans/bach/2026-09-22-four-week-mainflow-delivery/flow-handoffs.md`. Acceptance: WF1–WF4 owners agree on all five handoff keys before consuming APIs. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W3 — Foundation & DB","2026-09-28","wf2","plan-2026-09-22","owner-quoc","contract"
"7","Task","T003 | Create an accepted-assignment fixture","","3","Task T003. Owner: Bách (WF3); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-28; estimate 1d. Work: Create an accepted-assignment fixture in `backend/src/test/java/com/smartdroneinspection/inspections/InspectionFixture.java`. Acceptance: WF3 tests can start without a completed WF2 runtime while preserving real role and organization IDs. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W3 — Foundation & DB","2026-09-28","wf3","plan-2026-09-22","owner-bach","backend"
"8","Task","T004 | Create an accepted-report/finding fixture","","4","Task T004. Owner: Như (WF4); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-28; estimate 1d. Work: Create an accepted-report/finding fixture in `backend/src/test/java/com/smartdroneinspection/maintenance/MaintenanceFixture.java`. Acceptance: WF4 tests can start without a completed WF3 runtime and cannot use cross-organization findings. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W3 — Foundation & DB","2026-09-28","wf4","plan-2026-09-22","owner-nhu","backend"
"9","Task","T005 | Implement Admin category and checklist APIs","","1","Task T005. Owner: Hiếu (WF1); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-09-30; estimate 2d. Work: Implement Admin category and checklist APIs in `backend/src/main/java/com/smartdroneinspection/assets/api/AssetCatalogController.java` and `assets/service/AssetCatalogService.java`. Acceptance: only Admin can activate valid catalog versions; test role denial. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W3 — Foundation & DB","2026-09-30","wf1","plan-2026-09-22","owner-hieu","backend"
"10","Task","T006 | Implement organization-scoped asset create/list/detail/update","","1","Task T006. Owner: Hiếu (WF1); internal W1; Jira sprint: W3 — Foundation & DB; due: 2026-10-02; estimate 2d. Work: Implement organization-scoped asset create/list/detail/update in `backend/src/main/java/com/smartdroneinspection/assets/api/AssetController.java` and `assets/service/AssetService.java`. Acceptance: duplicate code and cross-organization access are denied by scoped queries. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W3 — Foundation & DB","2026-10-02","wf1","plan-2026-09-22","owner-hieu","backend"
"11","Task","T007 | Connect Client asset list/create/detail UI to live APIs","","1","Task T007. Owner: Hiếu (WF1); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-13; estimate 2d. Work: Connect Client asset list/create/detail UI to live APIs in `frontend/src/features/assets/pages/AssetsPage.tsx` and `frontend/src/features/assets/api/assetApi.ts`. Acceptance: Client can create and reopen an asset; loading/error/empty states work. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W5 — WF3 & WF4 Core","2026-10-13","wf1","plan-2026-09-22","owner-hieu","frontend"
"12","Task","T008 | Add authorized asset-document upload","","1","Task T008. Owner: Hiếu (WF1); internal W3; Jira sprint: W5 — WF3 & WF4 Core; due: 2026-10-14; estimate 1d. Work: Add authorized asset-document upload in `backend/src/main/java/com/smartdroneinspection/assets/api/AssetDocumentController.java` and `assets/service/AssetDocumentService.java`. Acceptance: file type/size and organization are checked before storing metadata/object key. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","28800","W5 — WF3 & WF4 Core","2026-10-14","wf1","plan-2026-09-22","owner-hieu","backend"
"13","Task","T009 | Implement schedule create/activate/pause and asset status checks","","1","Task T009. Owner: Hiếu (WF1); internal W2; Jira sprint: W4 — WF1 & WF2 Core; due: 2026-10-06; estimate 2d. Work: Implement schedule create/activate/pause and asset status checks in `backend/src/main/java/com/smartdroneinspection/assets/service/InspectionScheduleService.java`. Acceptance: inactive asset or unavailable checklist cannot produce an active schedule. Dependencies and gate: see tasks.md. Repository path(s) are workspace-relative.","57600","W4 — WF1 & WF2 Core","2026-10-06","wf1","plan-2026-09-22","owner-hieu","backend"
